"" "Molecule" "Index" "OverlapGene" "GATA2_pval" "mean_wo_replacement_pvals" "mean_w_replacement_pvals"
"90" "Index18" 0.602582496413199 "7" 0.0263755641792969 0.0295047695447134 0.0269524339096451
"91" "Index180" 0.0659186535764376 "6" 0.0219741200905939 0.0295788106035162 0.0223587871703249
"92" "Index181" 0.0932203389830508 "4" 0.0316550138679772 0.0294412481955752 0.0319485881762502
"93" "Index182" 0.0880281690140845 "8" 0.0341784748597658 0.0299462698959211 0.034605249033846
"94" "Index183" 0.0280254777070064 "4" 0.0231213477021666 0.0297714876292644 0.0231904984468067
"95" "Index184" 0.0155038759689922 "6" 0.0374304523597515 0.0298527777110291 0.0378400864742191
"96" "Index19" 0.282312925170068 "6" 0.0307070337791331 0.0296746846582002 0.0310013460353746
"97" "Index2" 0 "249" 0.278810626366429 0.0453175867406879 0.327622569324961
"98" "Index20" 0 "32" 0.0904789814771636 0.0318366752707397 0.0931843962453565
"99" "Index21" 0.025 "16" 0.0191406968278269 0.0305076110804996 0.0188575301525705
